#      Name and Version    Yburn 4.0
#         Job specifier    CalcBoundWave
#        Job started at    2013-06-19-16-20-29
#            ColorState    Singlet
#         PotentialType    Complex
#              AccAlpha    1e-06
#               AccWave    1e-09
#            Emax (MeV)    1e+04
#                ESteps    1000
#       QuarkMass (MeV)    4801
#             Rout (fm)    10
#                rSteps    20000
#              AlphaS_H    0.2417
#               dr (fm)    0.001
#         Sigma (MeV^2)    1.92e+05
#      SigmaEff (MeV^2)    1.92e+05
#              Tc (MeV)    170
#
#
#   Y1S	M = 9460.30 MeV
#---------------------------------------------------------------------------------------------------------------------------
#   T          DebyeMass  <r^2>^1/2  SoftScale  US_Scale   BoundMass  Energy     GammaDamp  GammaDiss  GammaTot
#   (MeV)      (MeV)      (fm)       (Mev)      (Mev)      (MeV)      (MeV)      (MeV)      (MeV)      (MeV)
#---------------------------------------------------------------------------------------------------------------------------
# pNRQCDHTL potential
	590        1319.87    0.311838   1193.69    393.08     8897.85    -28.3761   344.48     445.563    790.043
	600        1337.97    0.313563   1189.27    391.038    8887.01    -23.9186   355.953    461.219    817.172
	610        1356.04    0.315278   1184.91    389.277    8876.15    -19.5084   367.571    476.403    843.974
	620        1374.09    0.316982   1180.6     387.796    8865.27    -15.1429   379.332    491.009    870.341
	630        1392.1     0.318678   1176.35    386.593    8854.37    -10.8195   391.233    504.934    896.167
	640        1410.08    0.320363   1172.14    385.668    8843.46    -6.53661   403.273    518.085    921.357
	650        1428.04    0.32204    1167.99    385.016    8832.52    -2.29187   415.448    530.375    945.823


#   x1P	M = 9899.87 MeV
#---------------------------------------------------------------------------------------------------------------------------
#   T          DebyeMass  <r^2>^1/2  SoftScale  US_Scale   BoundMass  Energy     GammaDamp  GammaDiss  GammaTot
#   (MeV)      (MeV)      (fm)       (Mev)      (Mev)      (MeV)      (MeV)      (MeV)      (MeV)      (MeV)
#---------------------------------------------------------------------------------------------------------------------------
	170        523.975    0.432332   634.428    469.571    9276.57    -127.343   112.291    54.3876    166.678
	180        543.693    0.438082   628.87     450.575    9251.24    -112.124   126.209    67.6851    193.894
	190        563.435    0.4439     623.383    433.043    9225.39    -97.773    141.074    82.9315    224.006
	200        583.179    0.449746   617.996    416.954    9199.1     -84.1807   156.875    100.354    257.229
	210        602.909    0.455584   612.731    402.288    9172.44    -71.243    173.595    120.206    293.802
	220        622.613    0.46138    607.606    389.031    9145.47    -58.8663   191.216    142.742    333.958
	230        642.283    0.467104   602.635    377.172    9118.27    -46.9671   209.712    168.17     377.882
	240        661.913    0.472732   597.827    366.706    9090.87    -35.4732   229.058    196.583    425.642
	250        681.5      0.478245   593.188    357.628    9063.33    -24.3223   249.228    227.86     477.087
	260        701.039    0.483631   588.719    349.935    9035.68    -13.4612   270.191    261.542    531.734
	270        720.529    0.48888    584.42     343.624    9007.95    -2.84475   291.923    296.719    588.642


#   Y2S	M = 10023.26 MeV
#---------------------------------------------------------------------------------------------------------------------------
#   T          DebyeMass  <r^2>^1/2  SoftScale  US_Scale   BoundMass  Energy     GammaDamp  GammaDiss  GammaTot
#   (MeV)      (MeV)      (fm)       (Mev)      (Mev)      (MeV)      (MeV)      (MeV)      (MeV)      (MeV)
#---------------------------------------------------------------------------------------------------------------------------
	170        523.975    0.509372   628.734    472.651    9262.98    -134.978   137.402    75.3499    212.752
	180        543.693    0.513505   622.904    456.35     9234.12    -122.576   153.337    88.8035    242.141
	190        563.435    0.517616   617.232    441.484    9204.85    -110.968   170.189    103.064    273.253
	200        583.179    0.521691   611.731    428.018    9175.25    -100.057   187.937    118.099    306.036
	210        602.909    0.52571    606.409    415.927    9145.36    -89.7545   206.558    133.856    340.414
	220        622.613    0.529662   601.271    405.185    9115.23    -79.9808   226.028    150.231    376.259
	230        642.283    0.533534   596.319    395.776    9084.91    -70.6679   246.324    167.051    413.375
	240        661.913    0.537321   591.552    387.68     9054.42    -61.7541   267.419    184.051    451.47
	250        681.5      0.541015   586.966    380.887    9023.8     -53.1884   289.289    200.867    490.156
	260        701.039    0.544616   582.555    375.382    8993.05    -44.9259   311.91     217.036    528.947
	270        720.529    0.54812    578.314    371.153    8962.19    -36.929    335.258    232.033    567.291
	280        739.969    0.55153    574.236    368.183    8931.24    -29.1648   359.31     245.31     604.621
	290        759.358    0.554847   570.311    366.455    8900.2     -21.6061   384.045    256.379    640.424
	300        778.696    0.558075   566.533    365.944    8869.08    -14.2291   409.443    264.872    674.315
	310        797.982    0.561218   562.893    366.625    8837.87    -7.01377   435.484    270.608    706.093


#   x2P	M = 10260.24 MeV
#---------------------------------------------------------------------------------------------------------------------------
#   T          DebyeMass  <r^2>^1/2  SoftScale  US_Scale   BoundMass  Energy     GammaDamp  GammaDiss  GammaTot
#   (MeV)      (MeV)      (fm)       (Mev)      (Mev)      (MeV)      (MeV)      (MeV)      (MeV)      (MeV)
#---------------------------------------------------------------------------------------------------------------------------
	170        523.975    0.67784    428.004    436.133    8884.93    -47.0506   325.335    120.844    446.179
	180        543.693    0.681806   424.554    428.79     8827.33    -33.5541   362.547    136.431    498.979
	190        563.435    0.685458   421.287    424.08     8769.14    -20.3909   401.642    150.776    552.418
	200        583.179    0.688808   418.195    422.015    8710.45    -7.48848   442.545    163.282    605.827


#   Y3S	M = 10355.2 MeV
#---------------------------------------------------------------------------------------------------------------------------
#   T          DebyeMass  <r^2>^1/2  SoftScale  US_Scale   BoundMass  Energy     GammaDamp  GammaDiss  GammaTot
